XF,transcript_id,difference,uncertainty,stat,pval,padj,avg_coverage
HLA-DRB1,NM_002124.4,-0.08404184346719878,0.5965611268131283,-0.14087717031807998,0.8879669777079102,0.9997299078530111,1.4298272371156284
HLA-E,NM_005516.6_7,-0.4177676171464999,0.23046386311191527,-1.8127250472393075,0.06987423931576364,0.5713246626406556,2.517193343476035
HMGA1,NM_001319078.2,0.14648617717481338,0.36220716030530403,0.40442650844157896,0.6858991102904572,0.9878880037402346,2.1687159952819637
HMGA1,NM_002131.4,0.38705425586340203,0.27678253378158185,1.3984056384455212,0.16199129093907616,0.7680356358456353,2.306602172205065
HMGA1,NM_145899.3,0.1599969594081121,0.20038725610125696,0.798438795565246,0.4246158973739232,0.9805808749412689,2.8945486684070483
HMGA1,NM_145901.3,0.05277167931150828,0.4101225450607601,0.12867295384527103,0.8976164371750832,0.9997299078530111,1.5645854341680476
HMGA1,NM_145903.3,-0.2381173599240427,0.4467892184656018,-0.5329523410206805,0.5940665717393994,0.9805808749412689,1.6438990911414142
HMGN4,NM_006353.3_2,0.19932770824363977,0.21567436493192213,0.9242067702694189,0.35537867136818496,0.9439038596212301,2.288772171549324
HSPA1A,NM_005345.6_5,-0.12864797505063363,0.05532527406469001,-2.325302083460261,0.020055812973770706,0.3162513368153592,3.6540975059748
HSPA1B,NM_005346.6_5,-0.22950151841556166,0.06864769049400568,-3.3431790168614883,8.282445048024801e-4,0.034537795850263425,3.348200506930583
